MLST,count
28,1
44,1
57,1
68,1
74,1
86,1
90,1
124,1
129,1
135,1
136,1
155,1
223,1
295,1
345,1
348,1
352,1
354,1
361,1
362,1
363,1
367,1
398,1
409,1
420,1
429,1
442,1
443,1
446,1
450,1
452,1
457,1
533,1
547,1
624,1
625,1
635,1
640,1
646,1
652,1
657,1
676,1
680,1
685,1
706,1
753,1
767,1
773,1
847,1
929,1
961,1
964,1
974,1
976,1
978,1
1057,1
1081,1
1125,1
1148,1
1155,1
1170,1
1193,1
1262,1
1333,1
1423,1
1442,1
1459,1
1485,1
1494,1
1594,1
1604,1
1722,1
1810,1
1858,1
1946,1
1979,1
2015,1
2020,1
2067,1
2272,1
2307,1
2494,1
2526,1
2567,1
2617,1
2773,1
2914,1
2967,1
3290,1
4260,1
4702,1
5242,1
5253,1
5308,1
5338,1
5351,1
5363,1
5364,1
5375,1
5383,1
5384,1
5387,1
5389,1
5430,1
5432,1
5440,1
5470,1
5484,1
5494,1
5520,1
5526,1
5546,1
5552,1
5561,1
5576,1
5585,1
5589,1
5593,1
5597,1
5604,1
5606,1
5609,1
5614,1
5628,1
5629,1
5639,1
5640,1
5648,1
5661,1
5662,1
5663,1
5678,1
79,2
101,2
115,2
162,2
369,2
415,2
416,2
448,2
617,2
641,2
681,2
963,2
1231,2
1394,2
1972,2
2253,2
2802,2
5328,2
5360,2
5425,2
5491,2
46,3
83,3
91,3
106,3
390,3
410,3
491,3
569,3
1431,3
1618,3
48,4
93,4
104,4
349,4
394,4
428,4
537,4
540,4
567,4
973,4
167,5
404,5
453,5
550,5
998,5
23,6
421,7
538,7
372,8
117,10
58,12
59,13
141,14
648,15
14,16
88,16
357,16
80,17
144,17
62,19
405,21
38,24
393,26
10,33
127,37
12,57
69,82
95,145
131,218
73,222
