mlst_profile,count
ST207,1
ST230,1
ST239,1
ST246,1
ST274,1
kaerogenes|dnaA(14)|fusA(1)|gyrB(10)|leuS(3)|pryG(2)|rplB(2)|rpoB(10)|,1
kaerogenes|dnaA(2)|fusA(3)|gyrB(9)|leuS(3)|pryG(15)|rplB(1)|rpoB(2)|,1
kaerogenes|dnaA(23)|fusA(1)|gyrB(16)|leuS(14)|pryG(1)|rplB(1)|rpoB(10)|,1
kaerogenes|dnaA(27)|fusA(~3)|gyrB(1)|leuS(14)|pryG(1)|rplB(1)|rpoB(2)|,1
kaerogenes|dnaA(~38)|fusA(15)|gyrB(1)|leuS(3)|pryG(3)|rplB(1)|rpoB(2)|,1
kaerogenes|dnaA(~41)|fusA(~2)|gyrB(~26)|leuS(~48)|pryG(~20)|rplB(1)|rpoB(~2)|,1
kosc ST109,1
kosc ST121-3LV,1
kosc ST13,1
kosc ST134-1LV,1
kosc ST151,1
kosc ST157-3LV,1
kosc ST163-1LV,1
kosc ST186,1
kosc ST19,1
kosc ST199,1
kosc ST2,1
kosc ST2-2LV,1
kosc ST216,1
kosc ST223,1
kosc ST238-2LV,1
kosc ST249-1LV,1
kosc ST253-3LV,1
kosc ST258,1
kosc ST259,1
kosc ST284,1
kosc ST288,1
kosc ST29,1
kosc ST294,1
kosc ST30-1LV,1
kosc ST302,1
kosc ST324,1
kosc ST33-2LV,1
kosc ST357-2LV,1
kosc ST359,1
kosc ST36,1
kosc ST360,1
kosc ST364,1
kosc ST380-2LV,1
kosc ST411,1
kosc ST413,1
kosc ST418,1
kosc ST42,1
kosc ST43,1
kosc ST44,1
kosc ST440,1
kosc ST45-1LV,1
kosc ST48,1
kosc ST48-1LV,1
kosc ST488-2LV,1
kosc ST500,1
kosc ST510,1
kosc ST52,1
kosc ST523-1LV,1
kosc ST526,1
kosc ST534,1
kosc ST545,1
kosc ST83,1
kosc ST84,1
kosc ST85,1
kosc ST88-1LV,1
kosc ST9-2LV,1
kpsc NA,1
kpsc ST101,1
kpsc ST101-1LV,1
kpsc ST104,1
kpsc ST1082,1
kpsc ST111,1
kpsc ST116,1
kpsc ST1181,1
kpsc ST1190,1
kpsc ST1243,1
kpsc ST1263,1
kpsc ST127,1
kpsc ST1308,1
kpsc ST1430-1LV,1
kpsc ST15,1
kpsc ST152,1
kpsc ST1527,1
kpsc ST1537,1
kpsc ST1540,1
kpsc ST1548,1
kpsc ST1554,1
kpsc ST1562,1
kpsc ST161,1
kpsc ST163-1LV,1
kpsc ST1630,1
kpsc ST1675,1
kpsc ST168-1LV,1
kpsc ST17-1LV,1
kpsc ST1710,1
kpsc ST1731,1
kpsc ST1773,1
kpsc ST1777,1
kpsc ST1799,1
kpsc ST18,1
kpsc ST1818,1
kpsc ST1819,1
kpsc ST1833-1LV,1
kpsc ST1839,1
kpsc ST184,1
kpsc ST1875,1
kpsc ST1876,1
kpsc ST1877,1
kpsc ST1905-1LV,1
kpsc ST1958,1
kpsc ST1980-3LV,1
kpsc ST1998,1
kpsc ST1999,1
kpsc ST205,1
kpsc ST215,1
kpsc ST2202,1
kpsc ST236-1LV,1
kpsc ST2389,1
kpsc ST2441,1
kpsc ST2458,1
kpsc ST2504,1
kpsc ST252,1
kpsc ST253,1
kpsc ST2552,1
kpsc ST26,1
kpsc ST264-1LV,1
kpsc ST2650-2LV,1
kpsc ST2698-2LV,1
