ST,count
-1219,1
-1215,1
13,1
31,1
34,1
43,1
57,1
67,1
93,1
106,1
111,1
124,1
130,1
140,1
154,1
167,1
181,1
201,1
205,1
216,1
219,1
226,1
295,1
350,1
352,1
361,1
388,1
420,1
424,1
443,1
448,1
450,1
501,1
504,1
517,1
540,1
547,1
549,1
602,1
607,1
617,1
640,1
646,1
681,1
696,1
716,1
744,1
746,1
761,1
783,1
929,1
961,1
991,1
996,1
999,1
1011,1
1081,1
1115,1
1125,1
1146,1
1147,1
1154,1
1161,1
1228,1
1304,1
1324,1
1331,1
1333,1
1406,1
1432,1
1434,1
1444,1
1567,1
1618,1
1629,1
1642,1
1652,1
1674,1
1684,1
1706,1
1718,1
1723,1
1850,1
1858,1
1859,1
1861,1
1882,1
1982,1
1993,1
2003,1
2020,1
2067,1
2086,1
2178,1
2279,1
2308,1
2328,1
2425,1
2522,1
2673,1
2712,1
2766,1
3203,1
3246,1
3247,1
3520,1
3699,1
3723,1
3765,1
4358,1
4566,1
4598,1
4624,1
5308,1
5539,1
5614,1
5702,1
5705,1
5824,1
6086,1
6530,1
6701,1
6767,1
6994,1
7303,1
7427,1
7627,1
8346,1
8867,1
9962,1
10211,1
10212,1
10213,1
10214,1
10215,1
10217,1
10218,1
10221,1
10223,1
10227,1
10230,1
10233,1
10234,1
10235,1
10236,1
10238,1
10239,1
10240,1
10243,1
10246,1
10248,1
10252,1
10253,1
10255,1
10256,1
10257,1
10258,1
10260,1
10263,1
10264,1
10265,1
10266,1
10268,1
10269,1
10273,1
10275,1
10277,1
10278,1
10279,1
10281,1
10283,1
10284,1
10285,1
10286,1
10287,1
10289,1
10290,1
10291,1
10292,1
10293,1
10294,1
10298,1
10403,1
10405,1
10407,1
10409,1
10410,1
10411,1
10413,1
10414,1
10415,1
-1218,2
44,2
48,2
75,2
109,2
218,2
345,2
390,2
398,2
416,2
429,2
567,2
624,2
636,2
685,2
706,2
714,2
773,2
847,2
959,2
968,2
973,2
1086,2
1155,2
1236,2
1316,2
1727,2
2211,2
2531,2
3057,2
4038,2
10237,2
10254,2
10288,2
10295,2
90,3
108,3
348,3
354,3
457,3
641,3
919,3
1170,3
1643,3
5644,3
8915,3
126,4
224,4
297,4
349,4
394,4
399,4
569,4
676,4
978,4
1159,4
2015,4
355,5
410,5
491,5
101,6
362,6
409,6
428,6
998,6
1441,6
23,7
28,7
404,7
453,7
537,7
162,8
1057,8
83,9
104,9
136,9
155,9
648,9
62,10
2619,10
91,11
135,12
538,12
357,14
550,15
144,16
421,17
393,18
80,19
88,19
117,19
405,19
372,23
59,24
1193,25
38,28
10,31
58,32
14,33
141,41
127,64
12,78
69,197
131,203
95,215
73,287
