"kleborate_mlst","count"
"ST1008-3LV",1
"ST10227",1
"ST10308",1
"ST10325",1
"ST1056",1
"ST1057-1LV",1
"ST1083",1
"ST109",1
"ST10955",1
"ST11240-1LV",1
"ST1139-1LV",1
"ST1148",1
"ST1154",1
"ST11605",1
"ST1170",1
"ST1177",1
"ST11803",1
"ST11874",1
"ST1196-1LV",1
"ST120",1
"ST12310",1
"ST1246",1
"ST1248",1
"ST12883",1
"ST12886",1
"ST130-1LV",1
"ST1304",1
"ST13262",1
"ST1332",1
"ST1333",1
"ST13418",1
"ST136",1
"ST1385",1
"ST13850",1
"ST14-1LV",1
"ST14141",1
"ST1415",1
"ST142",1
"ST1421",1
"ST1426-1LV",1
"ST14319",1
"ST1434",1
"ST144-1LV",1
"ST14800",1
"ST1531",1
"ST154",1
"ST15519",1
"ST1629",1
"ST1642",1
"ST1643",1
"ST165",1
"ST1665",1
"ST1727",1
"ST176",1
"ST1859",1
"ST1924",1
"ST1982-1LV",1
"ST205",1
"ST2139",1
"ST216",1
"ST219",1
"ST2230",1
"ST226",1
"ST2521",1
"ST2526-1LV",1
"ST2531",1
"ST2558",1
"ST2559",1
"ST2650",1
"ST2739-1LV",1
"ST2795-1LV",1
"ST2851",1
"ST2914",1
"ST2973",1
"ST3057",1
"ST3202",1
"ST3236",1
"ST345",1
"ST3520",1
"ST355",1
"ST355-1LV",1
"ST3593",1
"ST3604",1
"ST361",1
"ST362-1LV",1
"ST3642",1
"ST369",1
"ST3727",1
"ST3863",1
"ST393",1
"ST394",1
"ST404-1LV",1
"ST409",1
"ST418",1
"ST424",1
"ST442",1
"ST45-1LV",1
"ST450",1
"ST457",1
"ST4576-1LV",1
"ST4684",1
"ST4702",1
"ST48",1
"ST5204",1
"ST533",1
"ST5351",1
"ST5389",1
"ST540-1LV",1
"ST542",1
"ST5420",1
"ST543",1
"ST547",1
"ST5484",1
"ST5562",1
"ST5603",1
"ST5640",1
"ST57",1
"ST5841-1LV",1
"ST6136",1
"ST625",1
"ST6286",1
"ST635",1
"ST641",1
"ST646",1
"ST661-1LV",1
"ST6701",1
"ST685",1
"ST6914",1
"ST6999",1
"ST70",1
"ST701",1
"ST706",1
"ST7075",1
"ST7102",1
"ST714",1
"ST7401",1
"ST7416",1
"ST744",1
"ST746",1
"ST752",1
"ST7630",1
"ST770",1
"ST80-1LV",1
"ST8184",1
"ST827",1
"ST8371",1
"ST8764",1
"ST8881",1
"ST8984",1
"ST9008",1
"ST9241",1
"ST9287",1
"ST929",1
"ST942",1
"ST949",1
"ST95-1LV",1
"ST963",1
"ST967",1
"ST9697",1
"ST973",1
"ST973-1LV",1
"ST10-1LV",2
"ST101",2
"ST1057",2
"ST11760",2
"ST1196",2
"ST12-1LV",2
"ST1236",2
"ST12400",2
"ST126",2
"ST1262",2
"ST1278",2
"ST1406",2
"ST1485",2
"ST155-1LV",2
"ST1597",2
"ST167",2
"ST1677",2
"ST1844",2
"ST1851",2
"ST1858",2
"ST191",2
"ST1914",2
"ST224",2
"ST2619",2
"ST2622",2
"ST28",2
"ST2800",2
"ST362",2
"ST398",2
"ST40",2
"ST401",2
"ST416",2
"ST429",2
"ST453",2
"ST46",2
"ST491",2
"ST549",2
"ST58-1LV",2
"ST607",2
"ST636",2
"ST69-1LV",2
"ST7092",2
"ST74",2
"ST8180",2
"ST91",2
"ST9264",2
"ST1193-1LV",3
"ST1722",3
"ST34",3
"ST399",3
"ST410",3
"ST420",3
"ST428",3
"ST4358",3
"ST501",3
"ST540",3
"ST14244",4
"ST155",4
"ST2279",4
"ST23",4
"ST681",4
"ST73-1LV",4
"ST104",5
"ST135",5
"ST1444",5
"ST1618",5
"ST550",5
"ST93",5
"ST162",6
"ST349",6
"ST421",6
"ST83",6
"ST998",6
"ST10320",7
"ST131-1LV",7
"ST2015",7
"ST538",8
"ST117",9
"ST144",9
"ST62",9
"ST14",10
"ST405",10
"ST569",10
"ST978",10
"ST59",11
"ST372",12
"ST80",12
"ST88",12
"ST357",13
"ST648",13
"ST58",15
"ST38",19
"ST141",23
"ST404",26
"ST10",27
"ST1193",36
"ST127",36
"ST12",76
"ST95",94
"ST69",114
"ST73",218
"ST131",251
